"","...1","fundamentalismo","desconfia","E179WVS","partido","proMERCADO"
"284",809,0.609963689613654,0.768494479716418,152004,"DC",0.222222222222222
"285",810,0.42634728370688,0.571078440772718,152004,"DC",0.444444444444444
"286",811,0.323300595229206,0.697191933448292,152004,"DC",0.444444444444444
"287",812,0.513479576195591,0.496459010665863,152004,"DC",0.111111111111111
"288",813,0.537476986556682,0.518030757324339,152004,"DC",0.111111111111111
"289",814,1,0.79381773597973,152004,"DC",0.222222222222222
"290",815,0.498297895350758,0.553011474168391,152004,"DC",0.555555555555556
"291",816,0.42369171470742,0.546163672279462,152004,"DC",0
"292",817,0.349412646506585,0.670997741594178,152004,"DC",0.111111111111111
"293",818,1,0.294758109603167,152002,"RN",1
"294",819,0.644597113151643,0.306305141365717,152002,"RN",0.555555555555556
"295",820,0.312768843100952,0.630796427220169,152002,"RN",0.333333333333333
"296",821,0.201747301538302,0.553011474168391,152002,"RN",0.222222222222222
"297",822,1,0.578103245497448,152002,"RN",0.444444444444444
"298",823,0.662922909816282,0.578103245497448,152002,"RN",0.555555555555556
"299",824,0.4550933196113,0.555921567406441,152002,"RN",0.111111111111111
"300",825,0.7633433911154,0.578848135800532,152002,"RN",0.777777777777778
"301",826,0.350037181547784,0.420609983212971,152002,"RN",0.111111111111111
"302",827,0.404966275295733,0.531194715972731,152002,"RN",0.444444444444444
"303",828,0.50237000239549,0.0921372216286176,152002,"RN",0.222222222222222
"304",829,0.349412646506585,0.368724099202284,152002,"RN",0.333333333333333
"305",830,0.411266476984149,0.314583727323192,152002,"RN",0.111111111111111
"306",831,0.407734527694408,0.805241049486581,152002,"RN",0.444444444444444
"307",833,0.397900172821904,0.481622084760692,152002,"RN",0.444444444444444
"308",834,0.6057752443962,0.323005104995436,152002,"RN",0.111111111111111
"309",835,0.122331353786952,0.593320418444628,152002,"RN",0.777777777777778
"310",836,0.193931039332405,0.517250295868152,152002,"RN",0.444444444444444
"311",837,0.50237000239549,0.353045978364874,152002,"RN",0.111111111111111
"312",838,0.448553896589668,0.378761350982402,152002,"RN",0.222222222222222
"313",839,0.7633433911154,0.336444397294777,152002,"RN",0.222222222222222
"314",840,0.609963689613654,0.768494479716418,152002,"RN",0.222222222222222
"315",841,0.666058263488881,0.531194715972731,152002,"RN",0.555555555555556
